Province,CODE,Year,Population
Satun,TH-91,2558,"315,923"
Satun,TH-91,2559,"317,612"
Satun,TH-91,2560,"319,700"
Satun,TH-91,2561,"321,574"
Satun,TH-91,2562,"323,586"
Trang,TH-92,2553,"622,659"
Trang,TH-92,2554,"626,708"
Trang,TH-92,2555,"631,920"
Trang,TH-92,2556,"636,043"
Trang,TH-92,2557,"638,746"
Trang,TH-92,2558,"640,793"
Trang,TH-92,2559,"641,684"
Trang,TH-92,2560,"643,072"
Trang,TH-92,2561,"643,116"
Trang,TH-92,2562,"643,164"
Phatthalung,TH-93,2553,"509,534"
Phatthalung,TH-93,2554,"511,063"
Phatthalung,TH-93,2555,"514,492"
Phatthalung,TH-93,2556,"518,021"
Phatthalung,TH-93,2557,"520,419"
Phatthalung,TH-93,2558,"522,723"
Phatthalung,TH-93,2559,"523,723"
Phatthalung,TH-93,2560,"524,857"
Phatthalung,TH-93,2561,"525,044"
Phatthalung,TH-93,2562,"524,865"
Pattani,TH-94,2553,"655,259"
Pattani,TH-94,2554,"663,485"
Pattani,TH-94,2555,"671,615"
Pattani,TH-94,2556,"678,838"
Pattani,TH-94,2557,"686,186"
Pattani,TH-94,2558,"694,023"
Pattani,TH-94,2559,"700,961"
Pattani,TH-94,2560,"709,796"
Pattani,TH-94,2561,"718,077"
Pattani,TH-94,2562,"725,104"
Yala,TH-95,2553,"487,380"
Yala,TH-95,2554,"493,767"
Yala,TH-95,2555,"500,814"
Yala,TH-95,2556,"506,138"
Yala,TH-95,2557,"511,911"
Yala,TH-95,2558,"518,139"
Yala,TH-95,2559,"522,279"
Yala,TH-95,2560,"527,295"
Yala,TH-95,2561,"532,326"
Yala,TH-95,2562,"536,330"
Narathiwat,TH-96,2553,"737,162"
Narathiwat,TH-96,2554,"747,372"
Narathiwat,TH-96,2555,"757,397"
Narathiwat,TH-96,2556,"766,145"
Narathiwat,TH-96,2557,"774,799"
Narathiwat,TH-96,2558,"783,082"
Narathiwat,TH-96,2559,"789,681"
Narathiwat,TH-96,2560,"796,239"
Narathiwat,TH-96,2561,"802,474"
Narathiwat,TH-96,2562,"808,020"
Nonthaburi,TH-12,2553,"1,101,743"
Nonthaburi,TH-12,2554,"1,122,627"
Nonthaburi,TH-12,2555,"1,141,673"
Nonthaburi,TH-12,2556,"1,156,271"
Nonthaburi,TH-12,2557,"1,173,870"
Nonthaburi,TH-12,2558,"1,193,711"
Nonthaburi,TH-12,2559,"1,211,924"
Nonthaburi,TH-12,2560,"1,229,735"
Nonthaburi,TH-12,2561,"1,246,295"
Nonthaburi,TH-12,2562,"1,265,387"
